EMPID,EducationField,JobRole,MonthlyRate,YearsAtCompany
E00637,Life Sciences,Research Scientist,16612,10
E00638,Life Sciences,Laboratory Technician,9148,3
E00639,Marketing,Sales Executive,18154,5
E00640,Technical Degree,Research Scientist,10554,4
E00641,Life Sciences,Laboratory Technician,10778,5
E00642,Life Sciences,Sales Executive,8891,10
E00643,Marketing,Sales Representative,12102,2
E00644,Life Sciences,Laboratory Technician,23726,5
E00645,Life Sciences,Research Scientist,14871,6
E00646,Medical,Sales Representative,23522,3
E00647,Marketing,Sales Executive,22789,2
E00648,Technical Degree,Manufacturing Director,9129,13
E00649,Medical,Sales Representative,21222,5
E00650,Life Sciences,Research Director,20206,12
E00651,Life Sciences,Healthcare Representative,21782,5
E00652,Marketing,Sales Executive,17783,7
E00653,Medical,Sales Executive,4814,10
E00654,Life Sciences,Manager,4544,31
E00655,Life Sciences,Human Resources,7790,5
E00656,Human Resources,Human Resources,22650,4
E00657,Life Sciences,Laboratory Technician,18016,1
E00658,Medical,Laboratory Technician,6054,4
E00659,Life Sciences,Research Scientist,7508,8
E00660,Medical,Sales Executive,24252,4
E00661,Life Sciences,Laboratory Technician,13384,1
E00662,Life Sciences,Manufacturing Director,23814,1
E00663,Medical,Sales Representative,22052,2
E00664,Other,Research Scientist,8870,1
E00665,Life Sciences,Healthcare Representative,4821,16
E00666,Life Sciences,Sales Representative,13137,3
E00667,Life Sciences,Manufacturing Director,10022,3
E00668,Life Sciences,Laboratory Technician,17725,7
E00669,Medical,Research Scientist,9834,2
E00670,Medical,Laboratory Technician,4303,2
E00671,Life Sciences,Research Scientist,17808,1
E00672,Life Sciences,Laboratory Technician,6896,1
E00673,Medical,Sales Executive,7824,5
E00674,Other,Research Scientist,3339,3
E00675,Technical Degree,Healthcare Representative,9255,6
E00676,Life Sciences,Sales Representative,11737,7
E00677,Life Sciences,Healthcare Representative,19170,10
E00678,Other,Laboratory Technician,22477,26
E00679,Medical,Research Scientist,5543,0
E00680,Marketing,Sales Executive,24406,9
E00681,Other,Research Scientist,23293,6
E00682,Technical Degree,Research Director,16292,15
E00683,Life Sciences,Laboratory Technician,3974,3
E00684,Marketing,Sales Representative,18798,1
E00685,Marketing,Sales Executive,20652,1
E00686,Medical,Sales Executive,11148,7
E00687,Medical,Laboratory Technician,3119,18
E00688,Medical,Laboratory Technician,12287,11
E00689,Other,Sales Representative,9947,1
E00690,Technical Degree,Laboratory Technician,13008,1
E00691,Medical,Healthcare Representative,17369,9
E00692,Medical,Research Scientist,25063,1
E00693,Medical,Manufacturing Director,13554,8
E00694,Life Sciences,Sales Executive,5518,16
E00695,Life Sciences,Healthcare Representative,12291,5
E00696,Life Sciences,Sales Executive,14922,14
E00697,Life Sciences,Laboratory Technician,23163,9
E00698,Technical Degree,Sales Representative,18203,3
E00699,Medical,Sales Executive,6179,5
E00700,Life Sciences,Manager,13829,9
E00701,Technical Degree,Research Scientist,26227,1
E00702,Medical,Manager,13938,17
E00703,Other,Sales Executive,9977,8
E00704,Technical Degree,Sales Executive,19899,5
E00705,Life Sciences,Sales Executive,6812,10
E00706,Life Sciences,Sales Executive,2560,8
E00707,Life Sciences,Sales Executive,17071,1
E00708,Medical,Manufacturing Director,6759,19
E00709,Technical Degree,Sales Executive,25952,7
E00710,Medical,Research Scientist,10322,3
E00711,Life Sciences,Manager,20489,10
E00712,Life Sciences,Research Scientist,11479,0
E00713,Life Sciences,Research Scientist,17241,3
E00714,Medical,Laboratory Technician,11005,5
E00715,Medical,Research Director,6615,5
E00716,Other,Healthcare Representative,20161,6
E00717,Medical,Research Director,3735,18
E00718,Technical Degree,Laboratory Technician,12086,2
E00719,Life Sciences,Laboratory Technician,14039,9
E00720,Life Sciences,Sales Executive,8571,9
E00721,Life Sciences,Research Scientist,11539,5
E00722,Life Sciences,Manufacturing Director,4161,12
E00723,Medical,Research Scientist,12127,2
E00724,Medical,Manufacturing Director,24208,8
E00725,Medical,Manufacturing Director,24117,4
E00726,Other,Laboratory Technician,10074,4
E00727,Life Sciences,Manufacturing Director,11275,4
E00728,Life Sciences,Research Scientist,13493,0
E00729,Technical Degree,Manufacturing Director,13943,10
E00730,Medical,Healthcare Representative,6975,16
E00731,Life Sciences,Research Director,17802,8
E00732,Medical,Research Scientist,18275,1
E00733,Medical,Laboratory Technician,25725,3
E00734,Medical,Manufacturing Director,3334,8
E00735,Life Sciences,Laboratory Technician,6881,4
E00736,Life Sciences,Healthcare Representative,13119,2
E00737,Life Sciences,Healthcare Representative,22245,15
E00738,Medical,Manufacturing Director,23371,2
E00739,Life Sciences,Manufacturing Director,7060,21
E00740,Life Sciences,Manufacturing Director,4658,3
E00741,Other,Laboratory Technician,9541,3
E00742,Marketing,Manager,7770,1
E00743,Life Sciences,Laboratory Technician,20165,1
E00744,Life Sciences,Manufacturing Director,21829,5
E00745,Medical,Healthcare Representative,14382,1
E00746,Medical,Healthcare Representative,12992,8
E00747,Life Sciences,Research Director,20284,21
E00748,Life Sciences,Sales Executive,4981,1
E00749,Medical,Sales Executive,21813,2
E00750,Marketing,Manager,25846,32
E00751,Medical,Sales Executive,11737,12
E00752,Life Sciences,Sales Executive,24920,18
E00753,Life Sciences,Laboratory Technician,8269,17
E00754,Medical,Manufacturing Director,5083,21
E00755,Life Sciences,Sales Representative,21437,2
E00756,Life Sciences,Manager,5404,9
E00757,Medical,Laboratory Technician,11135,8
E00758,Marketing,Sales Executive,12278,15
E00759,Technical Degree,Manager,11038,6
E00760,Medical,Human Resources,8318,6
E00761,Marketing,Sales Executive,23537,15
E00762,Other,Laboratory Technician,7858,1
E00763,Life Sciences,Research Scientist,15346,3
E00764,Life Sciences,Sales Representative,18410,1
E00765,Medical,Sales Representative,23384,1
E00766,Other,Research Scientist,2997,2
E00767,Medical,Research Director,12853,8
E00768,Other,Healthcare Representative,13848,4
E00769,Marketing,Sales Executive,22217,7
E00770,Medical,Research Scientist,25265,5
E00771,Medical,Research Director,21445,2
E00772,Life Sciences,Sales Executive,8392,9
E00773,Medical,Research Scientist,12154,5
E00774,Medical,Manufacturing Director,15669,14
E00775,Medical,Manager,17323,9
E00776,Medical,Sales Executive,5268,1
E00777,Marketing,Sales Representative,17205,2
E00778,Life Sciences,Laboratory Technician,17258,1
E00779,Life Sciences,Research Scientist,21029,16
E00780,Life Sciences,Research Scientist,10332,10
E00781,Technical Degree,Healthcare Representative,12355,10
E00782,Medical,Laboratory Technician,11141,5
E00783,Other,Manufacturing Director,9096,6
E00784,Technical Degree,Research Scientist,18863,10
E00785,Life Sciences,Healthcare Representative,24608,19
E00786,Technical Degree,Healthcare Representative,26542,11
E00787,Life Sciences,Laboratory Technician,5869,3
E00788,Life Sciences,Manufacturing Director,15813,3
E00789,Other,Research Scientist,7909,8
E00790,Medical,Human Resources,2326,20
E00791,Life Sciences,Healthcare Representative,21214,3
E00792,Technical Degree,Sales Executive,10333,8
E00793,Medical,Research Scientist,3129,13
E00794,Life Sciences,Laboratory Technician,22482,4
E00795,Life Sciences,Healthcare Representative,22266,6
E00796,Life Sciences,Sales Executive,24223,1
E00797,Technical Degree,Laboratory Technician,4605,7
E00798,Medical,Laboratory Technician,19373,1
E00799,Medical,Research Scientist,2993,2
E00800,Medical,Manager,14399,22
E00801,Medical,Laboratory Technician,7160,1
E00802,Other,Sales Executive,17251,0
E00803,Life Sciences,Sales Executive,13401,3
E00804,Life Sciences,Research Scientist,22478,0
E00805,Medical,Manager,16154,5
E00806,Life Sciences,Sales Executive,17970,15
E00807,Life Sciences,Healthcare Representative,15322,8
E00808,Marketing,Sales Executive,5569,8
E00809,Life Sciences,Research Scientist,26968,7
E00810,Medical,Manufacturing Director,8039,9
E00811,Marketing,Manager,15596,12
E00812,Marketing,Sales Executive,20619,1
E00813,Life Sciences,Manufacturing Director,11535,8
E00814,Life Sciences,Healthcare Representative,13547,18
E00815,Medical,Research Director,17544,20
E00816,Technical Degree,Research Scientist,25326,2
E00817,Life Sciences,Laboratory Technician,8770,5
E00818,Life Sciences,Manufacturing Director,23238,11
E00819,Life Sciences,Sales Representative,21981,2
E00820,Life Sciences,Research Scientist,19911,5
E00821,Marketing,Sales Executive,18500,5
E00822,Technical Degree,Sales Executive,11879,9
E00823,Life Sciences,Manufacturing Director,15834,3
E00824,Life Sciences,Research Scientist,17940,7
E00825,Medical,Laboratory Technician,9558,1
E00826,Medical,Manufacturing Director,17689,10
E00827,Human Resources,Human Resources,6004,7
E00828,Life Sciences,Research Scientist,22088,3
E00829,Medical,Laboratory Technician,13556,0
E00830,Marketing,Sales Executive,18385,5
E00831,Life Sciences,Laboratory Technician,9051,1
E00832,Medical,Laboratory Technician,6233,2
E00833,Medical,Healthcare Representative,17171,6
E00834,Life Sciences,Research Scientist,7950,4
E00835,Life Sciences,Sales Executive,5829,6
E00836,Technical Degree,Human Resources,7108,5
E00837,Life Sciences,Sales Executive,11162,11
E00838,Medical,Research Director,13782,18
E00839,Life Sciences,Sales Executive,2447,21
E00840,Marketing,Sales Executive,2253,6
E00841,Medical,Laboratory Technician,16340,8
E00842,Medical,Laboratory Technician,6409,4
E00843,Life Sciences,Laboratory Technician,22955,1
E00844,Medical,Laboratory Technician,13421,8
E00845,Marketing,Sales Executive,2706,10
E00846,Medical,Research Scientist,21203,1
E00847,Life Sciences,Manufacturing Director,19588,7
E00848,Medical,Healthcare Representative,25755,13
E00849,Other,Laboratory Technician,26537,2
E00850,Marketing,Sales Executive,9489,4
E00851,Life Sciences,Sales Representative,14947,1
E00852,Technical Degree,Manager,18575,5
E00853,Medical,Laboratory Technician,26342,10
E00854,Life Sciences,Research Scientist,7172,1
E00855,Medical,Research Scientist,20100,3
E00856,Life Sciences,Manufacturing Director,9961,14
E00857,Life Sciences,Laboratory Technician,12828,2
E00858,Life Sciences,Research Scientist,10826,6
E00859,Medical,Manager,18640,7
E00860,Life Sciences,Research Scientist,26933,5
E00861,Life Sciences,Research Scientist,4223,0
E00862,Marketing,Manager,24097,26
E00863,Life Sciences,Research Scientist,4279,0
E00864,Human Resources,Human Resources,8429,5
E00865,Life Sciences,Research Scientist,20293,1
E00866,Life Sciences,Sales Executive,13192,4
E00867,Medical,Sales Executive,25440,0
E00868,Medical,Manager,9490,2
E00869,Medical,Laboratory Technician,12449,6
E00870,Life Sciences,Research Director,10849,4
E00871,Life Sciences,Sales Executive,21026,7
E00872,Life Sciences,Laboratory Technician,3372,1
E00873,Medical,Sales Executive,4905,10
E00874,Life Sciences,Laboratory Technician,6865,7
E00875,Life Sciences,Laboratory Technician,11309,10
E00876,Other,Research Scientist,7744,20
E00877,Marketing,Sales Representative,5050,2
E00878,Technical Degree,Manufacturing Director,17433,6
E00879,Medical,Human Resources,12858,4
E00880,Marketing,Sales Executive,10893,11
E00881,Other,Laboratory Technician,7331,2
E00882,Life Sciences,Research Scientist,2338,8
E00883,Technical Degree,Manufacturing Director,4235,7
E00884,Medical,Research Scientist,6311,14
E00885,Technical Degree,Sales Executive,11591,5
E00886,Life Sciences,Sales Executive,20623,4
E00887,Medical,Research Scientist,9369,11
E00888,Medical,Research Director,23281,1
E00889,Marketing,Sales Executive,13755,13
E00890,Life Sciences,Research Scientist,14377,9
E00891,Life Sciences,Manufacturing Director,9659,5
E00892,Life Sciences,Research Scientist,19982,10
E00893,Medical,Research Scientist,6148,1
E00894,Life Sciences,Research Scientist,5598,3
E00895,Life Sciences,Research Director,23474,10
E00896,Medical,Healthcare Representative,17089,6
E00897,Medical,Healthcare Representative,17198,10
E00898,Life Sciences,Sales Executive,16490,6
E00899,Life Sciences,Research Director,18625,8
E00900,Medical,Manager,12124,1
E00901,Technical Degree,Research Scientist,9256,11
E00902,Technical Degree,Laboratory Technician,16620,1
E00903,Life Sciences,Research Scientist,3208,5
E00904,Life Sciences,Healthcare Representative,4204,6
E00905,Life Sciences,Research Director,8733,1
E00906,Life Sciences,Research Director,3423,7
E00907,Technical Degree,Research Scientist,21643,1
E00908,Marketing,Manager,8751,22
E00909,Marketing,Sales Executive,21708,9
E00910,Life Sciences,Research Scientist,21221,1
E00911,Life Sciences,Research Scientist,16901,1
E00912,Life Sciences,Sales Representative,8040,1
E00913,Life Sciences,Research Scientist,9973,8
E00914,Marketing,Manager,2493,24
E00915,Medical,Healthcare Representative,25592,33
E00916,Life Sciences,Laboratory Technician,25308,2
E00917,Marketing,Manager,9946,11
E00918,Marketing,Sales Executive,6039,3
E00919,Life Sciences,Manager,19196,29
E00920,Medical,Manufacturing Director,20002,9
E00921,Medical,Laboratory Technician,22534,11
E00922,Medical,Laboratory Technician,6842,4
E00923,Life Sciences,Manager,17477,25
E00924,Life Sciences,Human Resources,21833,10
E00925,Life Sciences,Research Scientist,6020,3
E00926,Medical,Research Scientist,5628,1
E00927,Marketing,Sales Executive,20364,21
E00928,Life Sciences,Manufacturing Director,2323,16
E00929,Medical,Healthcare Representative,14075,10
E00930,Life Sciences,Laboratory Technician,14222,2
E00931,Medical,Laboratory Technician,4257,7
E00932,Medical,Manufacturing Director,12858,8
E00933,Technical Degree,Laboratory Technician,17285,7
E00934,Technical Degree,Research Scientist,4732,3
E00935,Medical,Research Scientist,18830,2
E00936,Medical,Sales Executive,11693,10
E00937,Medical,Manager,13035,0
E00938,Medical,Manager,17334,19
E00939,Life Sciences,Research Scientist,26076,2
E00940,Life Sciences,Laboratory Technician,22845,10
E00941,Medical,Research Scientist,22154,5
E00942,Technical Degree,Laboratory Technician,23631,9
E00943,Technical Degree,Healthcare Representative,5747,7
E00944,Life Sciences,Human Resources,22957,7
E00945,Life Sciences,Laboratory Technician,16392,9
E00946,Life Sciences,Research Director,22422,3
E00947,Marketing,Sales Executive,17235,5
E00948,Life Sciences,Sales Executive,21534,8
E00949,Medical,Manager,25927,9
E00950,Life Sciences,Manufacturing Director,13352,8
E00951,Life Sciences,Sales Executive,8935,10
E00952,Medical,Sales Executive,22074,19
E00953,Life Sciences,Sales Representative,8319,3
E00954,Life Sciences,Laboratory Technician,14669,3
E00955,Life Sciences,Manager,26582,20
E00956,Medical,Manager,6992,19
E00957,Life Sciences,Manager,4022,7
E00958,Life Sciences,Research Scientist,8532,4
E00959,Life Sciences,Healthcare Representative,5494,9
E00960,Life Sciences,Research Scientist,22455,9
E00961,Marketing,Sales Executive,4297,9
E00962,Life Sciences,Research Scientist,2690,9
E00963,Life Sciences,Manager,17588,33
E00964,Life Sciences,Sales Executive,19461,7
E00965,Medical,Sales Executive,23553,10
E00966,Medical,Laboratory Technician,9075,3
E00967,Medical,Manufacturing Director,12023,10
E00968,Life Sciences,Laboratory Technician,6762,4
E00969,Marketing,Sales Executive,2261,15
E00970,Life Sciences,Manufacturing Director,18706,10
E00971,Medical,Sales Representative,6527,1
E00972,Technical Degree,Manufacturing Director,24439,5
E00973,Life Sciences,Laboratory Technician,19305,0
E00974,Medical,Laboratory Technician,10846,9
E00975,Life Sciences,Sales Executive,20392,6
E00976,Marketing,Sales Executive,9277,19
E00977,Life Sciences,Manufacturing Director,18235,19
E00978,Technical Degree,Research Scientist,15891,5
E00979,Medical,Healthcare Representative,13888,12
E00980,Medical,Laboratory Technician,17491,8
E00981,Life Sciences,Sales Representative,11882,1
E00982,Marketing,Sales Executive,23288,4
E00983,Life Sciences,Research Scientist,15748,4
E00984,Technical Degree,Healthcare Representative,6163,14
E00985,Life Sciences,Sales Executive,24232,5
E00986,Medical,Manufacturing Director,21057,10
E00987,Life Sciences,Sales Executive,3567,5
E00988,Marketing,Sales Executive,15395,4
E00989,Life Sciences,Research Scientist,13953,6
E00990,Life Sciences,Research Scientist,5182,6
E00991,Life Sciences,Sales Executive,19293,5
E00992,Marketing,Sales Executive,20497,3
E00993,Life Sciences,Healthcare Representative,3449,6
E00994,Life Sciences,Sales Executive,12477,3
E00995,Medical,Manufacturing Director,9731,5
E00996,Medical,Research Scientist,20003,20
E00997,Marketing,Sales Executive,7100,6
E00998,Life Sciences,Research Scientist,25681,8
E00999,Medical,Research Scientist,4050,4
E01000,Human Resources,Manager,16616,20
E01001,Other,Laboratory Technician,17363,5
E01002,Medical,Laboratory Technician,19106,3
E01003,Life Sciences,Manufacturing Director,19944,2
E01004,Technical Degree,Laboratory Technician,4910,3
E01005,Other,Laboratory Technician,23577,7
E01006,Other,Human Resources,9769,10
E01007,Life Sciences,Laboratory Technician,22710,4
E01008,Other,Healthcare Representative,22930,8
E01009,Medical,Research Director,5652,20
E01010,Medical,Research Director,22456,9
E01011,Medical,Research Director,12414,7
E01012,Marketing,Sales Executive,20763,5
E01013,Life Sciences,Sales Representative,16154,1
E01014,Marketing,Sales Executive,12761,3
E01015,Life Sciences,Research Director,8847,3
E01016,Other,Research Scientist,20284,4
E01017,Life Sciences,Research Scientist,22262,1
E01018,Life Sciences,Laboratory Technician,7679,5
E01019,Life Sciences,Laboratory Technician,22604,10
E01020,Marketing,Sales Executive,13494,3
E01021,Technical Degree,Research Scientist,10205,6
E01022,Life Sciences,Sales Representative,15182,3
E01023,Technical Degree,Laboratory Technician,25470,6
E01024,Life Sciences,Research Scientist,10494,3
E01025,Medical,Research Director,26703,20
E01026,Medical,Sales Executive,15211,5
E01027,Marketing,Sales Executive,23343,4
E01028,Life Sciences,Laboratory Technician,3708,5
E01029,Medical,Research Scientist,5561,4
E01030,Other,Laboratory Technician,23099,8
E01031,Life Sciences,Sales Executive,8386,13
E01032,Marketing,Sales Executive,15986,7
E01033,Life Sciences,Laboratory Technician,17181,1
E01034,Life Sciences,Manufacturing Director,8931,10
E01035,Medical,Healthcare Representative,19863,7
E01036,Medical,Human Resources,24609,3
E01037,Life Sciences,Laboratory Technician,21081,2
E01038,Technical Degree,Manufacturing Director,14720,3
E01039,Marketing,Sales Executive,24795,2
E01040,Technical Degree,Human Resources,3072,2
E01041,Medical,Research Director,25178,9
E01042,Medical,Sales Executive,23490,5
E01043,Life Sciences,Laboratory Technician,7973,5
E01044,Medical,Research Director,19764,9
E01045,Technical Degree,Healthcare Representative,21534,3
E01046,Medical,Research Scientist,8045,3
E01047,Life Sciences,Research Scientist,21158,5
E01048,Medical,Sales Executive,17456,4
E01049,Other,Sales Executive,15891,13
E01050,Life Sciences,Sales Executive,2939,2
E01051,Medical,Laboratory Technician,16458,12
E01052,Marketing,Sales Executive,9282,1
E01053,Technical Degree,Research Scientist,7152,1
E01054,Life Sciences,Research Scientist,2721,12
E01055,Life Sciences,Healthcare Representative,20948,8
E01056,Medical,Research Director,11929,14
E01057,Technical Degree,Sales Representative,15747,3
E01058,Technical Degree,Sales Executive,17485,5
